dpkg-awk	dpkg-awk
gawk	gawk
original-awk	original-awk
llvm-dev	llvm
meson	meson
gcc	gcc
ansible	ansible
s3cmd	s3cmd
s4cmd	s4cmd
p7zip-full	7za
busybox	busybox
lhasa	lha
unzip	unzip
zip	zip
zstd	zstd
bubblewrap	bwrap
firejail	firejail
wine	wine
k3d	k3d
bcal	bcal
hexyl	hexyl
xxd	xxd
jq	jq
fzf	fzf
ripgrep	rg
pandoc	pandoc
python3-unidecode	unidecode
redis-tools	redis
scap-workbench	scap-workbench
mycli	mycli
mysql-community-server	mysql
pgcli	pgcli
sqlite	sqlite3
cgdb	cgdb
emacs	emacs
helix	helix
nano	nano
vim	vim
util-linux	cfdisk
duc	duc
ncdu	ncdu
smartmontools	smartctl
exa	exa
lfm	lfm
mc	midnight-commander
nnn	nnn
ranger	ranger
vifm	vifm
bat	bat
fdclone	fd
rsync	rsync
syncthing	syncthing
tree	tree
zoxide	zoxide
fcitx5	fcitx5
taskwarrior	taskwarrior
golang-go	go
groovy	groovy
java	java
julia	julia
mawk	mawk
php	php
python-minimal	python|python3|pip|pip3
python3	python|python3|pip|pip3
ruby-full	ruby
scala	scala
rakudo	raku
cruft	cruft
howdoi	howdoi
mypy	mypy
pipx	pipx
rebound-cli	rebound-cli
sip-devel	sip
twine	twine
virtualenv	virtualenv
libc-bin	iconv
borgbackup	borg
restic	restic
beets	beets
chafa	chafa
cmus	cmus
epsilon-bin	epsilon
ffmpeg	ffmpeg
imgp	imgp
ocrmypdf	ocrmypdf
vhs	vhs
aria2	aria2
asn	asn
certbot	certbot
curl	curl
dnsutils	dig
gost	gost
iftop	iftop
iptraf-ng	iptraf-ng
magic-wormhole	magic-wormhole
mitmproxy	mitmproxy
mosquitto	mosquitto
mtr	mtr
nload	nload
network-manager	nmtui
socat	socat
speedtest-cli	speedtest-cli
tcptrack	tcptrack
termshark	termshark
traceroute	traceroute
wavemon	wavemon
atop	atop
doas	doas
easy-rsa	easy-rsa
glances	glances
htop	htop
musl-tools	musl
neofetch	neofetch
nethogs	nethogs
nmon	nmon
nvtop	nvtop
proot	proot
psmisc	pstree
saidar	saidar
systemd	systemctl
coreutils	coreutils
googler	googler
irssi	irssi
mcabber	mcabber
mutt	mutt
qrencode	qrencode
tsung	tsung
w3m	w3m
watchexec-cli	watchexec
apt	apt
aptitude	aptitude
apt	flatpak
luarocks	luarocks
oma	oma
pacman	pacman
pipenv	pipenv
rbenv	rbenv
sudo sudo apt install snapd	snap
zypper	zypper
cloc	cloc
glow	glow
python3-matplotlib	matplotlib
svn-workbench	svn-workbench
artemis	act
soft-serve	soft-serve
tea	tea
bzr	bzr
git-annex	git-annex
git-publish	git-publish
git-sizer	git-sizer
git	git
tig	tig
activemq	activemq
ant	ant
gradle	gradle
bcrypt	bcrypt
dnstwist	dnstwist
lynis	lynis
ncat	ncat
nmap	nmap
nmap	nping
openssl	openssl
ash	ash
bash	bash
passwd	chsh
dash	dash
direnv	direnv
elvish	elvish
fish	fish
shellcheck	shellcheck
xonsh	xonsh
zsh	zsh
openssh-client	openssh-client
openssh-server	openssh-server
gifsicle	gifsicle
multitail	multitail
guake	guake
gum	gum
tmux	tmux
siege	siege
qemu-kvm	kvm
vagrant	vagrant
virtualbox-qt	virtualbox
wabt	wabt
hurl	hurl
amfora	amfora
elinks	elinks
links	links
apache2	apache
nginx-extras	nginx
mkdocs	mkdocs
